Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2002-01-01,ICICI,EQ,43.95,44.85,44.85,43.3,44.25,44.05,44.0,182338,802220495000.0,0.0,127600.0,0.6998000000000001
2002-01-02,ICICI,EQ,44.05,43.5,44.35,43.5,44.15,44.15,44.09,93462,412030260000.0,0.0,64032.0,0.6851
2002-01-03,ICICI,EQ,44.15,44.9,46.6,44.0,46.25,46.15,45.45,253044,1150185285000.0,0.0,166508.0,0.658
2002-01-04,ICICI,EQ,46.15,46.7,46.75,45.0,45.75,45.5,45.62,202522,923893575000.0,0.0,128741.0,0.6357
2002-01-07,ICICI,EQ,45.5,46.4,46.4,43.95,44.25,44.15,44.84,295821,1326394270000.0,0.0,233088.0,0.7879
2002-01-08,ICICI,EQ,44.15,44.9,44.95,44.1,44.7,44.7,44.51,100324,446531365000.00006,0.0,47748.0,0.47590000000000005
2002-01-09,ICICI,EQ,44.7,44.9,45.4,44.15,44.5,44.5,44.71,155829,696703050000.0,0.0,114448.0,0.7343999999999999
2002-01-10,ICICI,EQ,44.5,44.15,45.0,44.1,44.75,44.75,44.49,100495,447142205000.0,0.0,77788.0,0.774
2002-01-11,ICICI,EQ,44.75,44.9,45.0,43.75,44.15,44.05,44.29,118265,523847850000.0,0.0,88801.0,0.7509
2002-01-14,ICICI,EQ,44.05,44.3,45.4,44.15,44.25,44.25,44.79,142270,637295570000.0,0.0,89430.0,0.6286
2002-01-15,ICICI,EQ,44.25,45.55,48.7,45.5,48.7,48.45,47.32,1328279,6285179550000.0,0.0,705685.0,0.5313
2002-01-16,ICICI,EQ,48.45,50.45,51.35,47.55,48.45,48.85,49.18,1844094,9068639055000.0,0.0,944980.0,0.5124000000000001
2002-01-17,ICICI,EQ,48.85,46.0,49.45,46.0,48.3,48.95,48.6,943961,4587766605000.0,0.0,614991.0,0.6515000000000001
2002-01-18,ICICI,EQ,48.95,49.0,49.45,46.7,46.95,47.1,47.75,405395,1935855710000.0002,0.0,255303.0,0.6298
2002-01-21,ICICI,EQ,47.1,49.0,49.0,47.25,47.6,47.55,48.09,526624,2532409335000.0,0.0,353234.0,0.6708
2002-01-22,ICICI,EQ,47.55,47.4,48.35,47.35,47.6,47.6,47.85,246589,1179949880000.0,0.0,147796.0,0.5994
2002-01-23,ICICI,EQ,47.6,47.9,50.15,47.9,49.0,48.75,49.41,1325449,6548878915000.0,0.0,887128.0,0.6693000000000001
2002-01-24,ICICI,EQ,48.75,49.5,51.6,48.15,50.8,50.7,50.41,2165475,10915441510000.0,0.0,748244.0,0.3455
2002-01-25,ICICI,EQ,50.7,51.25,51.95,49.6,50.95,50.5,50.63,1000495,5065311165000.0,0.0,450739.0,0.45049999999999996
